Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Other Role Description - (Value),Sources,Notes
INDIGO-POJ-0068,INDIGO-ORG-1388,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for Education validated this project.,,
INDIGO-POJ-0069,INDIGO-ORG-1388,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for Education validated this project.,,
INDIGO-POJ-0070,INDIGO-ORG-1388,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for Education validated this project.,,
INDIGO-POJ-0071,INDIGO-ORG-1388,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for Education validated this project.,,
INDIGO-POJ-0072,INDIGO-ORG-1388,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for Education validated this project.,,
INDIGO-POJ-0073,INDIGO-ORG-0061,Performance management,,,
INDIGO-POJ-0073,INDIGO-ORG-0435,Performance management,,,
INDIGO-POJ-0073,INDIGO-ORG-0062,,,,
INDIGO-POJ-0073,INDIGO-ORG-0063,,,,
INDIGO-POJ-0074,INDIGO-ORG-0904,Performance management,,,
INDIGO-POJ-0074,INDIGO-ORG-0904,,,,
INDIGO-POJ-0074,INDIGO-ORG-0905,,,,
INDIGO-POJ-0075,INDIGO-ORG-1179,Financial and commercial modeling,,,
INDIGO-POJ-0075,INDIGO-ORG-1180,Other,Evaluator,,
INDIGO-POJ-0075,INDIGO-ORG-0403,Impact bond design,,,
INDIGO-POJ-0076,INDIGO-ORG-0403,Performance management,,,
INDIGO-POJ-0078,INDIGO-ORG-0080,,,,
INDIGO-POJ-0078,INDIGO-ORG-0081,,,,
INDIGO-POJ-0079,INDIGO-ORG-0615,Performance management,,,
INDIGO-POJ-0079,INDIGO-ORG-0525,,,,
INDIGO-POJ-0080,INDIGO-ORG-0076,Performance management,,,
INDIGO-POJ-0080,INDIGO-ORG-1181,Technical assistance,,,
INDIGO-POJ-0081,INDIGO-ORG-0013,Performance management,,,
INDIGO-POJ-0081,INDIGO-ORG-0013,,,,
INDIGO-POJ-0082,INDIGO-ORG-0230,Performance management,,,
INDIGO-POJ-0082,INDIGO-ORG-0231,Other,"Intermediary overseeing the implementation of the project, convening partners, contracting with and managing payments to and reports from the providers, and developing reports for the investors.",,
INDIGO-POJ-0082,INDIGO-ORG-0232,Impact bond investment structure,"Provided financial structuring, research, and analytic support.",,
INDIGO-POJ-0083,INDIGO-ORG-0529,Performance management,,,
INDIGO-POJ-0083,INDIGO-ORG-0530,,,,
INDIGO-POJ-0084,INDIGO-ORG-0938,Performance management,,,
INDIGO-POJ-0084,INDIGO-ORG-0939,Performance management,,,
INDIGO-POJ-0084,INDIGO-ORG-0940,Performance management,,,
INDIGO-POJ-0084,INDIGO-ORG-0856,,,,
INDIGO-POJ-0084,INDIGO-ORG-0942,,,,
INDIGO-POJ-0084,INDIGO-ORG-0943,,,,
INDIGO-POJ-0085,INDIGO-ORG-0413,Performance management,,,
INDIGO-POJ-0085,INDIGO-ORG-0414,Performance management,,,
