Project ID,Service Provision ID - (Value),Location - Name - (Value),Location - Postcode - (Value),Location - Country - (Value),Lat/Lng - Lat - (Value),Lat/Lng - Lng - (Value),Adminstrative geography - Name - (Value),Adminstrative geography - Code Type - (Value),Adminstrative geography - Code - (Value),Sources,Notes
INDIGO-POJ-0168,deliverylocation1,Doncaster Metropolitan Borough Council,DN1 3BU,GB,53.52282,-1.128462,,,,,
INDIGO-POJ-0169,deliverylocation1,London,,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0169,deliverylocation2,West Midlands,,GB,52.489471,-1.898575,,,,,
INDIGO-POJ-0169,deliverylocation3,Kent,,GB,51.279999,1.08,,,,,
INDIGO-POJ-0170,deliverylocation1,London Borough of Hounslow ,TW3 3EB,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0171,deliverylocation1,Cheshire West and Chester Council,CH1 2NP,GB,53.473091,-2.773581,,,,,
INDIGO-POJ-0172,deliverylocation1,Nottingham City Council,NG2 3NG,GB,52.944049,-1.150239,,,,,
INDIGO-POJ-0172,deliverylocation2,Nottinghamshire County Council,NG2 7QP,GB,52.944049,-1.150239,,,,,
INDIGO-POJ-0173,deliverylocation1,Staffordshire County Council,ST16 2DH,GB,52.723881,-2.103353,,,,,
INDIGO-POJ-0174,Family Lives,Royal Borough of Kensington and Chelsea (London),W10 5ND,GB,51.509953,-0.128534,,,,,
INDIGO-POJ-0174,Family Lives,Westminster City Council (London),NW8 8LF,GB,51.509953,-0.128534,,,,,
INDIGO-POJ-0175,serviceprovision1,Kirklees Metropolitan Borough Council,HD3 3JB,GB,53.64904,-1.78416,,,,,
INDIGO-POJ-0176,Twinings,London Boroughs of Haringey and Barnet,N22 8LE and NW9 4EW,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0177,deliverylocation1,Derbyshire County Council,,GB,52.78256,-1.463366,,,,,
INDIGO-POJ-0177,deliverylocation2,Northamptonshire County Council,,GB,52.2371,-0.8944,,,,,
INDIGO-POJ-0177,deliverylocation3,Worcestershire County Council,,GB,52.1936,-2.2216,,,,,
INDIGO-POJ-0177,deliverylocation4,Plymouth City Council,,GB,50.3755,-4.1427,,,,,
INDIGO-POJ-0178,deliverylocation1,Norfolk County Council,,GB,52.613969,0.886402,,,,,
INDIGO-POJ-0179,"Cromwood Housing, Kineara",Bexley Council,DA6 7AT,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0180,deliverylocation1,Plymouth City Council,PL3 6NP,GB,50.376289,-4.143841,,,,,
INDIGO-POJ-0181,South Yorkshire Housing ,Sheffield City Council,S1 2HH,GB,53.387302,-1.466871,,,,,
INDIGO-POJ-0182,deliverylocation1,London Borough of Brent,HA9 0FJ,GB,51.5597,-0.271,,,,,
INDIGO-POJ-0182,deliverylocation2,London Borough of Islington,N1 1XR,GB,51.546506,-0.105806,,,,,
INDIGO-POJ-0182,deliverylocation3,London Borough of Ealing,W5 2HL,GB,51.5,-0.3333,,,,,
INDIGO-POJ-0182,deliverylocation4,Enfield Council,EN1 3XA,GB,51.654827,-0.083599,,,,,
INDIGO-POJ-0182,deliverylocation5,Hackney Council,E8 1DY,GB,51.544205,-0.054215,,,,,
INDIGO-POJ-0182,deliverylocation6,Waltham Forest Council,E17 4JF,GB,51.588638,-0.011763,,,,,
INDIGO-POJ-0182,deliverylocation7,Norfolk County Council,,GB,52.630886,1.297355,,,,,
INDIGO-POJ-0183,deliverylocation1,Suffolk County Council,IP1 2BX,GB,52.32461,1.273456,,,,,
INDIGO-POJ-0184,deliverylocation1,Brent Council ,HA9 0FJ,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0184,deliverylocation2,Westminster City Council,NW8 8LF,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0184,deliverylocation3,Royal Borough of Kensington and Chelsea,W10 5ND,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0184,deliverylocation4,London Borough of Hammersmith and Fulham,W6 9JT,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0188,,Enfield Council ,EN1 3XA,GB,51.654827,-0.083599,,,,,
INDIGO-POJ-0189,,Shropshire,SY2 6ND,GB,52.477474,-2.03586,,,,,
INDIGO-POJ-0190,servicedelivery1,"West London Boroughs (Barnet, Brent, Ealing, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, and Westminster) ",,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0191,,Région Hauts-de-France,,FR,49.614003,2.799862,,,,,
INDIGO-POJ-0192,,Tower Hamlets,E14 2BG,GB,51.520261,-0.02934,,,,,
INDIGO-POJ-0193,serviceprovision1,Tower Hamlets,E14 2BG,GB,51.520261,-0.02934,,,,,
INDIGO-POJ-0194,,Telford & Wrekin Council,TF3 4EJ,GB,52.768555,-2.375587,,,,,
INDIGO-POJ-0194,,Worcestershire County Council,WR5 2NP,GB,52.192001,-2.22,,,,,
INDIGO-POJ-0194,,City of Wolverhampton Council,WV1 1SH,GB,52.59137,-2.110748,,,,,
