Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Maximum potential Outcome payment - Currency - (Value),Maximum potential Outcome payment - Amount - (Value),Maximum potential Outcome payment - Amount USD - (Value),Result type - (Value),Period - Start - (Value),Period - End - (Value),Total outcome payments made - Currency - (Value),Total outcome payments made - Amount - (Value),Total outcome payments made - Amount USD - (Value),Alterations to payment commitment - Description - (Value),Alterations to payment commitment - Reason - (Value),Sources,Notes
INDIGO-POJ-0071,INDIGO-ORG-0158,Government/Public Sector/Public Bank,,,,,,,,,,,,,
INDIGO-POJ-0072,INDIGO-ORG-0157,Government/Public Sector/Public Bank,,,,,,,,,,,,,
INDIGO-POJ-0072,INDIGO-ORG-0158,Government/Public Sector/Public Bank,,,,,,,,,,,,,
INDIGO-POJ-0073,INDIGO-ORG-0064,,,10200000,,,,,,,,,,,
INDIGO-POJ-0073,INDIGO-ORG-0065,,,10200000,,,,,,,,,,,
INDIGO-POJ-0074,INDIGO-ORG-0906,,,131300000,,,,,,,,,,,
INDIGO-POJ-0074,INDIGO-ORG-0907,,,100000000,,,,,,,,,,,
INDIGO-POJ-0074,INDIGO-ORG-0908,,,55100000,,,,,,,,,,,
INDIGO-POJ-0074,INDIGO-ORG-0909,,,12500000,,,,,,,,,,,
INDIGO-POJ-0074,INDIGO-ORG-0910,,,50000000,,,,,,,,,,,
INDIGO-POJ-0075,INDIGO-ORG-1177,Government/Public Sector/Public Bank,South Korean Won,1770000000,,,,,,,,,,,
INDIGO-POJ-0076,INDIGO-ORG-0404,,,1391000000,,,,,,,,,,,
INDIGO-POJ-0077,INDIGO-ORG-0757,,,12000000,,,,,,,,,,,
INDIGO-POJ-0078,INDIGO-ORG-0082,,,CHF 290.000,,,,,,,,,,,
INDIGO-POJ-0079,INDIGO-ORG-0526,,,"68,000,000 rubles",,,,,,,,,,,
INDIGO-POJ-0080,INDIGO-ORG-0077,,AED,2000000,,,,,,,,,,,
INDIGO-POJ-0081,INDIGO-ORG-0014,,,26500000,,,,,,,,,,,
INDIGO-POJ-0082,INDIGO-ORG-0234,,,"$1,350,000",,,,,,,,,,,
INDIGO-POJ-0082,INDIGO-ORG-0235,,,,,,,,,,,,,,
INDIGO-POJ-0083,INDIGO-ORG-0531,,,$11.712M,,,,,,,,,,,
INDIGO-POJ-0084,INDIGO-ORG-0944,,,"$10,448,853",,,,,,,,,,,
INDIGO-POJ-0084,INDIGO-ORG-0418,,,"$11,095,000",,,,,,,,,,,
INDIGO-POJ-0085,INDIGO-ORG-0298,,,15000000,,,,,,$,,,,,
INDIGO-POJ-0085,INDIGO-ORG-0418,,,12000000,,,,,,$,,,,,
INDIGO-POJ-0086,INDIGO-ORG-0619,,,30000000,,,,,,,,,,,
INDIGO-POJ-0086,INDIGO-ORG-0620,,,4500000,,,,,,,,,,,
INDIGO-POJ-0087,INDIGO-ORG-0958,,,"$5,000,000",,,,,,$,,,,,
INDIGO-POJ-0088,INDIGO-ORG-0667,,,"$6,000,000",,,,,,$,,,,,
INDIGO-POJ-0089,INDIGO-ORG-0475,,,"$8,000,000",,,,,,$,,,,,
INDIGO-POJ-0089,INDIGO-ORG-0476,,,"$4,000,000",,,,,,$,,,,,
INDIGO-POJ-0090,INDIGO-ORG-0859,,,"$7,500,000",,,,,,$,,,,,
INDIGO-POJ-0091,INDIGO-ORG-0561,,,"$5,290,000 (housing stability); $6,130,000 (jail day reduction)",,,,,,"$1,020,000 (interim results)",,,,,
INDIGO-POJ-0092,INDIGO-ORG-0519,,,$,,,,,,$,,,,,
INDIGO-POJ-0093,INDIGO-ORG-0106,,,"$14,800,000",,,,,,$,,,,,
INDIGO-POJ-0094,INDIGO-ORG-0332,,,,,,,,,,,,,,
INDIGO-POJ-0095,INDIGO-ORG-0096,,,"$5,950,000",,,,,,$,,,,,
INDIGO-POJ-0096,INDIGO-ORG-0096,,,"$5,550,000",,,,,,$,,,,,
INDIGO-POJ-0097,INDIGO-ORG-0875,,,15000000,,,,,,$,,,,,
INDIGO-POJ-0098,INDIGO-ORG-0037,,,21300000,,,,,,$,,,,,
INDIGO-POJ-0099,INDIGO-ORG-1034,,,12450000,,,,,,$,,,,,
INDIGO-POJ-0099,INDIGO-ORG-1035,,,650000,,,,,,$,,,,,
INDIGO-POJ-0099,INDIGO-ORG-0628,,,1800000,,,,,,$,,,,,
INDIGO-POJ-0100,INDIGO-ORG-0928,,,14100000,,,,,,$,,,,,
INDIGO-POJ-0101,INDIGO-ORG-0627,,,$,,,,,,$,,,,,
INDIGO-POJ-0101,INDIGO-ORG-0628,,,$,,,,,,$,,,,,
INDIGO-POJ-0102,INDIGO-ORG-0609,,,120000,,,,,,,,,,,
INDIGO-POJ-0102,INDIGO-ORG-0610,,,1250000,,,,,,$,,,,,
INDIGO-POJ-0103,INDIGO-ORG-0890,,,500000,,,,,,$,,,,,
INDIGO-POJ-0104,INDIGO-ORG-0298,,,$,,,,,,$,,,,,
INDIGO-POJ-0104,INDIGO-ORG-0299,,,$,,,,,,$,,,,,
INDIGO-POJ-0104,INDIGO-ORG-0300,,,$,,,,,,$,,,,,
INDIGO-POJ-0104,INDIGO-ORG-0301,,,$,,,,,,$,,,,,
INDIGO-POJ-0105,INDIGO-ORG-0165,,,816000,,,,,,$,,,,,
INDIGO-POJ-0106,INDIGO-ORG-0165,,,1336600,,,,,,$,,,,,
INDIGO-POJ-0107,INDIGO-ORG-0165,,,931200,,,,,,$,,,,,
INDIGO-POJ-0108,INDIGO-ORG-0262,,,142000,,,,,,$,,,,,
INDIGO-POJ-0109,INDIGO-ORG-0085,,,,,,,,,,,,,,
INDIGO-POJ-0109,INDIGO-ORG-0086,,,,,,,,,,,,,,
INDIGO-POJ-0109,INDIGO-ORG-0087,,,,,,,,,,,,,,
INDIGO-POJ-0109,INDIGO-ORG-0088,,,1262980,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0747,,,,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0748,,,,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0749,,,,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0750,,,,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0751,,,,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0752,,,,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0753,,,,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0754,,,,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0755,,,,,,,,,,,,,,
INDIGO-POJ-0110,INDIGO-ORG-0088,,,1300000,,,,,,,,,,,
INDIGO-POJ-0111,INDIGO-ORG-0691,,,,,,,,,,,,,,
INDIGO-POJ-0111,INDIGO-ORG-0306,,,,,,,,,,,,,,
INDIGO-POJ-0111,INDIGO-ORG-0115,,,,,,,,,,,,,,
INDIGO-POJ-0112,INDIGO-ORG-0536,,,,,,,,,,,,,,
INDIGO-POJ-0112,INDIGO-ORG-0306,,,256000,,,,,,,,,,,
INDIGO-POJ-0112,INDIGO-ORG-1560,,,,,,,,,,,,,,
INDIGO-POJ-0112,INDIGO-ORG-1561,,,,,,,,,,,,,,
