Project ID,Id,Organisation ID - (Value),Organisation Role Category - (Value),Investment Commitment - Currency - (Value),Investment Commitment - Amount - Min - (Value),Investment Commitment - Amount - Exact - (Value),Investment Commitment - Amount - Max - (Value),Investment Commitment - Amount USD - Min - (Value),Investment Commitment - Amount USD - Exact - (Value),Investment Commitment - Amount USD - Max - (Value),Maximum Potential loss - (Value),Maximum Potential Return Type - (Value),Maximum Potential Return - (Value),Investor Repayment - (Value),Investment Type - (Value),Sources,Notes
INDIGO-POJ-0034,investment1,INDIGO-ORG-0316,,,,,,,,,,,,,,,
INDIGO-POJ-0035,investment1,INDIGO-ORG-0534,,USD,,292897.714,,,292897.714,,,,,,,,
INDIGO-POJ-0036,investment1,INDIGO-ORG-0534,,USD,,3000000,,,3000000,,,,,,,,
INDIGO-POJ-0037,investment1,INDIGO-ORG-0534,,USD,,2900000,,,2900000,,,,,,,,
INDIGO-POJ-0038,investment1,INDIGO-ORG-0223,,Israeli new shekels,,19400000,,,5051337.91,,,,,,,,
INDIGO-POJ-0039,investment1,INDIGO-ORG-0973,,,,,,,,,,,,,,,
INDIGO-POJ-0039,investment2,INDIGO-ORG-0974,,,,,,,,,,,,,,,
INDIGO-POJ-0039,investment3,INDIGO-ORG-0975,,,,,,,,,,,,,,,
INDIGO-POJ-0040,investment1,INDIGO-ORG-0778,,,,,,,,,,,,,,,
INDIGO-POJ-0040,investment2,INDIGO-ORG-0779,,,,,,,,,,,,,,,
INDIGO-POJ-0040,investment3,INDIGO-ORG-0352,,,,,,,,,,,,,,,
INDIGO-POJ-0041,investment1,INDIGO-ORG-0350,,,,,,,,,,,,,,,
INDIGO-POJ-0041,investment2,INDIGO-ORG-0351,,,,,,,,,,,,,,,
INDIGO-POJ-0041,investment3,INDIGO-ORG-0352,,,,,,,,,,,,,,,
INDIGO-POJ-0041,investment4,INDIGO-ORG-0353,,,,,,,,,,,,,,,
INDIGO-POJ-0042,investment1,INDIGO-ORG-0778,,,,,,,,,,,,,,,
INDIGO-POJ-0042,investment2,INDIGO-ORG-0804,,,,,,,,,,,,,,,
INDIGO-POJ-0043,investment1,INDIGO-ORG-0986,,,,,,,,,,,,,,,
INDIGO-POJ-0043,investment2,INDIGO-ORG-0987,,,,,,,,,,,,,,,
INDIGO-POJ-0043,investment3,INDIGO-ORG-0988,,,,,,,,,,,,,,,
INDIGO-POJ-0043,investment4,INDIGO-ORG-0989,,,,,,,,,,,,,,,
INDIGO-POJ-0043,investment5,INDIGO-ORG-0990,,,,,,,,,,,,,,,
INDIGO-POJ-0043,investment6,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0043,investment7,INDIGO-ORG-0992,,,,,,,,,,,,,,,
INDIGO-POJ-0044,investment1,INDIGO-ORG-0177,,,,,,,,,,,,,,,
INDIGO-POJ-0044,investment2,INDIGO-ORG-0173,,,,,,,,,,,,,,,
INDIGO-POJ-0044,investment3,INDIGO-ORG-0448,,,,,,,,,,,,,,,
INDIGO-POJ-0045,investment1,INDIGO-ORG-0177,,,,,,,,,,,,,,,
INDIGO-POJ-0045,investment2,INDIGO-ORG-0178,,,,,,,,,,,,,,,
INDIGO-POJ-0046,investment1,INDIGO-ORG-0687,,,,,,,,,,,,,,,
INDIGO-POJ-0046,investment2,INDIGO-ORG-0448,,,,,,,,,,,,,,,
INDIGO-POJ-0047,investment1,INDIGO-ORG-0448,,,,,,,,,,,,,,,
INDIGO-POJ-0047,investment2,INDIGO-ORG-0177,,,,,,,,,,,,,,,
INDIGO-POJ-0048,investment1,INDIGO-ORG-0542,,,,,,,,,,,,,,,
INDIGO-POJ-0048,investment2,INDIGO-ORG-0177,,,,,,,,,,,,,,,
INDIGO-POJ-0049,investment1,INDIGO-ORG-0542,,EUR,,450000,,,531170.018,,,,,,,,
INDIGO-POJ-0050,investment1,INDIGO-ORG-0726,,,,,,,,,,,,,,,
INDIGO-POJ-0050,investment2,INDIGO-ORG-0727,,,,,,,,,,,,,,,
INDIGO-POJ-0051,investment1,INDIGO-ORG-1015,,,,,,,,,,,,,,,
INDIGO-POJ-0052,investment1,INDIGO-ORG-0178,,,,,,,,,,,,,,,
INDIGO-POJ-0052,investment2,INDIGO-ORG-0177,,,,,,,,,,,,,,,
INDIGO-POJ-0052,investment3,INDIGO-ORG-0687,,,,,,,,,,,,,,,
INDIGO-POJ-0053,investment1,INDIGO-ORG-0448,,,,,,,,,,,,,,,
INDIGO-POJ-0053,investment2,INDIGO-ORG-0177,,,,,,,,,,,,,,,
INDIGO-POJ-0053,investment3,INDIGO-ORG-0895,,,,,,,,,,,,,,,
INDIGO-POJ-0054,investment1,INDIGO-ORG-0689,,EUR,,3000000,,,3327200.336,,,,,,,,
INDIGO-POJ-0055,investment1,INDIGO-ORG-0582,,,,,,,,,,,,,Equity,,
INDIGO-POJ-0055,investment2,INDIGO-ORG-0583,,,,,,,,,,,,,Equity,,
INDIGO-POJ-0055,investment3,INDIGO-ORG-0584,,,,,,,,,,,,,Equity,,
INDIGO-POJ-0055,investment4,INDIGO-ORG-0585,,,,,,,,,,,,,Debt,,
INDIGO-POJ-0055,investment5,INDIGO-ORG-0586,,,,,,,,,,,,,Debt,,
INDIGO-POJ-0055,investment6,INDIGO-ORG-0568,,,,,,,,,,,,,Debt,,
INDIGO-POJ-0056,investment1,INDIGO-ORG-0152,,,,,,,,,,,,,,,
INDIGO-POJ-0056,investment2,INDIGO-ORG-0153,,,,,,,,,,,,,,,
INDIGO-POJ-0056,investment3,INDIGO-ORG-0149,,,,,,,,,,,,,,,
INDIGO-POJ-0056,investment4,INDIGO-ORG-0155,,,,,,,,,,,,,,,
INDIGO-POJ-0057,investment1,INDIGO-ORG-0253,,USD,,19700000,,,19700000,,,,,,,,
INDIGO-POJ-0058,investment1,INDIGO-ORG-0396,,,,,,,,,,,,,Equity and debt,,
INDIGO-POJ-0058,investment2,INDIGO-ORG-0397,,,,,,,,,,,,,Equity and debt,,
INDIGO-POJ-0058,investment3,INDIGO-ORG-0398,,,,,,,,,,,,,Development contribution (convertible loan),,
INDIGO-POJ-0058,investment4,INDIGO-ORG-0399,,,,,,,,,,,,,Equity and debt,,
INDIGO-POJ-0059,investment1,INDIGO-ORG-0721,,USD,,110000,,,110000,,,,,,Grant,,
INDIGO-POJ-0060,investment1,INDIGO-ORG-0357,,,,,,,,,,,,,,,
INDIGO-POJ-0060,investment2,INDIGO-ORG-0358,,,,,,,,,,,,,,,
INDIGO-POJ-0061,investment1,INDIGO-ORG-0357,,,,,,,,,,,,Some repayment (but below value of principle),,,"This project required about £683,700 which was £40,000 less than the initial budget. Investors were reimbursed approximately £646,370 for outcomes delivered (source6)"
INDIGO-POJ-0061,investment2,INDIGO-ORG-0933,,,,,,,,,,,,,,,
INDIGO-POJ-0062,investment1,INDIGO-ORG-0357,,,,,,,,,,,,,,,
INDIGO-POJ-0062,investment2,INDIGO-ORG-0174,,,,,,,,,,,,,,,
INDIGO-POJ-0063,investment1,INDIGO-ORG-0357,,EUR,,125000,,,138633.3473,,,,,,,,
INDIGO-POJ-0064,investment1,INDIGO-ORG-0451,,EUR,,104859,,,117508.6215,,,,,,,,
INDIGO-POJ-0065,investment1,INDIGO-ORG-0357,,,,,,,,,,,,,,,
INDIGO-POJ-0065,investment2,INDIGO-ORG-0900,,,,,,,,,,,,,,,
INDIGO-POJ-0066,investment1,INDIGO-ORG-0159,,,,,,,,,,,,,,,
INDIGO-POJ-0066,investment2,INDIGO-ORG-0160,,,,,,,,,,,,,,,
INDIGO-POJ-0067,investment1,INDIGO-ORG-0159,,,,,,,,,,,,,,,
INDIGO-POJ-0067,investment2,INDIGO-ORG-0160,,,,,,,,,,,,,,,
INDIGO-POJ-0068,investment1,INDIGO-ORG-0159,,,,,,,,,,,,,,,
INDIGO-POJ-0068,investment2,INDIGO-ORG-1210,,,,,,,,,,,,,,,
INDIGO-POJ-0069,investment1,INDIGO-ORG-0174,,,,,,,,,,,,,,,
INDIGO-POJ-0069,investment2,INDIGO-ORG-0978,,,,,,,,,,,,,,,
INDIGO-POJ-0070,investment1,INDIGO-ORG-0160,,EUR,,248356,,,293153.9133,,,,,,,,
INDIGO-POJ-0071,investment1,INDIGO-ORG-0160,,EUR,,279713,,,330167.0205,,,,,,,,
INDIGO-POJ-0072,investment1,INDIGO-ORG-1027,,EUR,,270400,,,319174.1619,,,,,,,,
INDIGO-POJ-0073,investment1,INDIGO-ORG-0066,,,,,,,,,,,,,Debt,,
INDIGO-POJ-0073,investment2,INDIGO-ORG-0067,,,,,,,,,,,,,Debt,,
INDIGO-POJ-0073,investment3,INDIGO-ORG-0068,,,,,,,,,,,,,Debt,,
INDIGO-POJ-0074,investment1,INDIGO-ORG-0911,,,,,,,,,,,,,Commercial (Subordinate),,
INDIGO-POJ-0074,investment2,INDIGO-ORG-0066,,,,,,,,,,,,,First Loss,,
INDIGO-POJ-0074,investment3,INDIGO-ORG-0913,,,,,,,,,,,,,Capital Preservation (Senior),,
INDIGO-POJ-0074,investment4,INDIGO-ORG-0914,,,,,,,,,,,,,Commercial (Subordinate),,
INDIGO-POJ-0074,investment5,INDIGO-ORG-0915,,,,,,,,,,,,,First Loss,,
INDIGO-POJ-0075,,INDIGO-ORG-1175,Foundation/Philanthropist,,,,,,,,,,,,,,"Apart from these investors, the Haebom project is the world's first SIB business to link crowdfunding. More than 60 small investors were part of the crowdfunding effort. "
INDIGO-POJ-0075,,INDIGO-ORG-1176,Foundation/Philanthropist,,,,,,,,,,,,,,
INDIGO-POJ-0076,investment1,INDIGO-ORG-0405,,,,,,,,,,,,,,,
INDIGO-POJ-0076,investment2,INDIGO-ORG-0406,,,,,,,,,,,,,,,
INDIGO-POJ-0076,investment3,INDIGO-ORG-0407,,,,,,,,,,,,,,,
INDIGO-POJ-0077,investment1,INDIGO-ORG-0758,,Swedish,,10000000,,,1167952.55,,,,,,,,
INDIGO-POJ-0078,investment1,INDIGO-ORG-0083,,Swiss Francs,,2700000,,,2805540.716,,,,,,,,
INDIGO-POJ-0079,investment1,INDIGO-ORG-0527,,Russian rubles,,60000000,,,926653.4693,,,,,,,,
INDIGO-POJ-0080,investment1,INDIGO-ORG-0078,,AED,,2000000,,,544588.1552,,,,,,,,
INDIGO-POJ-0081,investment1,INDIGO-ORG-0015,,AUD,,6000000,,,4598553.638,,,,,,,,
INDIGO-POJ-0082,investment1,INDIGO-ORG-0419,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0082,investment2,INDIGO-ORG-0237,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0083,investment1,INDIGO-ORG-0419,,USD,,7200000,,,7200000,,,,,,senior loan,,
INDIGO-POJ-0084,investment1,INDIGO-ORG-0945,,,,,,,,,,,,,,,
INDIGO-POJ-0084,investment2,INDIGO-ORG-0946,,,,,,,,,,,,,,,
INDIGO-POJ-0084,investment3,INDIGO-ORG-0874,,,,,,,,,,,,,,,
INDIGO-POJ-0085,investment1,INDIGO-ORG-0419,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0085,investment2,INDIGO-ORG-0420,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0085,investment3,INDIGO-ORG-0310,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0085,investment4,INDIGO-ORG-0110,,,,,,,,,,,,,Recyclable grants,,
INDIGO-POJ-0085,investment5,INDIGO-ORG-0421,,,,,,,,,,,,,Recyclable grants,,
